"GEO_ID","NAME","P2_001N","P2_002N","P2_003N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Hispanic or Latino"," !!Total:!!Not Hispanic or Latino:"
"1400000US42101032100","Census Tract 321, Philadelphia County, Pennsylvania","3985","1238","2747"
"1400000US42101032300","Census Tract 323, Philadelphia County, Pennsylvania","4078","1255","2823"
"1400000US42101032500","Census Tract 325, Philadelphia County, Pennsylvania","6210","1527","4683"
"1400000US42101032600","Census Tract 326, Philadelphia County, Pennsylvania","7761","1993","5768"
"1400000US42101032900","Census Tract 329, Philadelphia County, Pennsylvania","4431","991","3440"
"1400000US42101033000","Census Tract 330, Philadelphia County, Pennsylvania","8213","2146","6067"
"1400000US42101033101","Census Tract 331.01, Philadelphia County, Pennsylvania","5398","909","4489"
"1400000US42101033102","Census Tract 331.02, Philadelphia County, Pennsylvania","4478","809","3669"
"1400000US42101033200","Census Tract 332, Philadelphia County, Pennsylvania","3292","523","2769"
"1400000US42101033300","Census Tract 333, Philadelphia County, Pennsylvania","4339","437","3902"
"1400000US42101033400","Census Tract 334, Philadelphia County, Pennsylvania","5447","701","4746"
"1400000US42101033500","Census Tract 335, Philadelphia County, Pennsylvania","4214","657","3557"
"1400000US42101033600","Census Tract 336, Philadelphia County, Pennsylvania","8155","1045","7110"
"1400000US42101033701","Census Tract 337.01, Philadelphia County, Pennsylvania","5672","598","5074"
"1400000US42101033702","Census Tract 337.02, Philadelphia County, Pennsylvania","5679","590","5089"
"1400000US42101033800","Census Tract 338, Philadelphia County, Pennsylvania","6285","978","5307"
"1400000US42101033900","Census Tract 339, Philadelphia County, Pennsylvania","3106","415","2691"
"1400000US42101034000","Census Tract 340, Philadelphia County, Pennsylvania","2971","330","2641"
"1400000US42101034100","Census Tract 341, Philadelphia County, Pennsylvania","5829","547","5282"
"1400000US42101034200","Census Tract 342, Philadelphia County, Pennsylvania","3732","236","3496"
"1400000US42101034400","Census Tract 344, Philadelphia County, Pennsylvania","7814","483","7331"
"1400000US42101034501","Census Tract 345.01, Philadelphia County, Pennsylvania","3783","340","3443"
"1400000US42101034502","Census Tract 345.02, Philadelphia County, Pennsylvania","5928","407","5521"
"1400000US42101034600","Census Tract 346, Philadelphia County, Pennsylvania","2840","360","2480"
"1400000US42101034701","Census Tract 347.01, Philadelphia County, Pennsylvania","6736","798","5938"
"1400000US42101034702","Census Tract 347.02, Philadelphia County, Pennsylvania","3896","390","3506"
"1400000US42101034801","Census Tract 348.01, Philadelphia County, Pennsylvania","4553","411","4142"
"1400000US42101034802","Census Tract 348.02, Philadelphia County, Pennsylvania","5570","773","4797"
"1400000US42101034803","Census Tract 348.03, Philadelphia County, Pennsylvania","4516","413","4103"
"1400000US42101034900","Census Tract 349, Philadelphia County, Pennsylvania","5740","1043","4697"
"1400000US42101035100","Census Tract 351, Philadelphia County, Pennsylvania","4268","226","4042"
"1400000US42101035200","Census Tract 352, Philadelphia County, Pennsylvania","4871","288","4583"
"1400000US42101035301","Census Tract 353.01, Philadelphia County, Pennsylvania","5260","451","4809"
"1400000US42101035302","Census Tract 353.02, Philadelphia County, Pennsylvania","4719","441","4278"
"1400000US42101035500","Census Tract 355, Philadelphia County, Pennsylvania","8239","592","7647"
"1400000US42101035601","Census Tract 356.01, Philadelphia County, Pennsylvania","5794","325","5469"
"1400000US42101035602","Census Tract 356.02, Philadelphia County, Pennsylvania","3693","195","3498"
"1400000US42101035701","Census Tract 357.01, Philadelphia County, Pennsylvania","5528","271","5257"
"1400000US42101035702","Census Tract 357.02, Philadelphia County, Pennsylvania","5181","179","5002"
"1400000US42101035800","Census Tract 358, Philadelphia County, Pennsylvania","6282","336","5946"
"1400000US42101035900","Census Tract 359, Philadelphia County, Pennsylvania","5361","355","5006"
"1400000US42101036000","Census Tract 360, Philadelphia County, Pennsylvania","3247","179","3068"
"1400000US42101036100","Census Tract 361, Philadelphia County, Pennsylvania","4029","483","3546"
"1400000US42101036201","Census Tract 362.01, Philadelphia County, Pennsylvania","5093","461","4632"
"1400000US42101036202","Census Tract 362.02, Philadelphia County, Pennsylvania","6191","457","5734"
"1400000US42101036203","Census Tract 362.03, Philadelphia County, Pennsylvania","5134","364","4770"
"1400000US42101036301","Census Tract 363.01, Philadelphia County, Pennsylvania","3843","354","3489"
"1400000US42101036302","Census Tract 363.02, Philadelphia County, Pennsylvania","3712","603","3109"
"1400000US42101036303","Census Tract 363.03, Philadelphia County, Pennsylvania","6695","455","6240"
"1400000US42101036400","Census Tract 364, Philadelphia County, Pennsylvania","971","69","902"
"1400000US42101036501","Census Tract 365.01, Philadelphia County, Pennsylvania","5698","353","5345"
"1400000US42101036502","Census Tract 365.02, Philadelphia County, Pennsylvania","4130","248","3882"
"1400000US42101036600","Census Tract 366, Philadelphia County, Pennsylvania","2171","159","2012"
"1400000US42101036700","Census Tract 367, Philadelphia County, Pennsylvania","3856","257","3599"
"1400000US42101036901","Census Tract 369.01, Philadelphia County, Pennsylvania","4","2","2"
"1400000US42101036902","Census Tract 369.02, Philadelphia County, Pennsylvania","6598","539","6059"
"1400000US42101037200","Census Tract 372, Philadelphia County, Pennsylvania","4524","377","4147"
"1400000US42101037300","Census Tract 373, Philadelphia County, Pennsylvania","5913","265","5648"
"1400000US42101037500","Census Tract 375, Philadelphia County, Pennsylvania","4074","199","3875"
"1400000US42101037600","Census Tract 376, Philadelphia County, Pennsylvania","3664","422","3242"
"1400000US42101037700","Census Tract 377, Philadelphia County, Pennsylvania","4583","809","3774"
"1400000US42101037800","Census Tract 378, Philadelphia County, Pennsylvania","2389","233","2156"
"1400000US42101037900","Census Tract 379, Philadelphia County, Pennsylvania","5313","338","4975"
"1400000US42101038000","Census Tract 380, Philadelphia County, Pennsylvania","2502","816","1686"
"1400000US42101038100","Census Tract 381, Philadelphia County, Pennsylvania","753","218","535"
"1400000US42101038200","Census Tract 382, Philadelphia County, Pennsylvania","2801","929","1872"
"1400000US42101038301","Census Tract 383.01, Philadelphia County, Pennsylvania","2663","1815","848"
"1400000US42101038400","Census Tract 384, Philadelphia County, Pennsylvania","2411","108","2303"
"1400000US42101038500","Census Tract 385, Philadelphia County, Pennsylvania","1855","82","1773"
"1400000US42101038600","Census Tract 386, Philadelphia County, Pennsylvania","1338","67","1271"
"1400000US42101038700","Census Tract 387, Philadelphia County, Pennsylvania","2249","138","2111"
"1400000US42101038800","Census Tract 388, Philadelphia County, Pennsylvania","3883","178","3705"
"1400000US42101038900","Census Tract 389, Philadelphia County, Pennsylvania","2988","79","2909"
"1400000US42101039001","Census Tract 390.01, Philadelphia County, Pennsylvania","3979","1191","2788"
"1400000US42101039002","Census Tract 390.02, Philadelphia County, Pennsylvania","4421","1493","2928"
"1400000US42101039100","Census Tract 391, Philadelphia County, Pennsylvania","2577","109","2468"
"1400000US42101980001","Census Tract 9800.01, Philadelphia County, Pennsylvania","3","0","3"
"1400000US42101980002","Census Tract 9800.02, Philadelphia County, Pennsylvania","12","6","6"
"1400000US42101980003","Census Tract 9800.03, Philadelphia County, Pennsylvania","21","0","21"
"1400000US42101980100","Census Tract 9801, Philadelphia County, Pennsylvania","52","3","49"
"1400000US42101980200","Census Tract 9802, Philadelphia County, Pennsylvania","336","23","313"
"1400000US42101980300","Census Tract 9803, Philadelphia County, Pennsylvania","3","0","3"
"1400000US42101980400","Census Tract 9804, Philadelphia County, Pennsylvania","0","0","0"
"1400000US42101980500","Census Tract 9805, Philadelphia County, Pennsylvania","2","2","0"
"1400000US42101980600","Census Tract 9806, Philadelphia County, Pennsylvania","2","2","0"
"1400000US42101980701","Census Tract 9807.01, Philadelphia County, Pennsylvania","0","0","0"
"1400000US42101980702","Census Tract 9807.02, Philadelphia County, Pennsylvania","9","4","5"
"1400000US42101980800","Census Tract 9808, Philadelphia County, Pennsylvania","13","3","10"
"1400000US42101980901","Census Tract 9809.01, Philadelphia County, Pennsylvania","44","6","38"
"1400000US42101980902","Census Tract 9809.02, Philadelphia County, Pennsylvania","0","0","0"
"1400000US42101980903","Census Tract 9809.03, Philadelphia County, Pennsylvania","6","2","4"
"1400000US42101980904","Census Tract 9809.04, Philadelphia County, Pennsylvania","1","0","1"
"1400000US42101980905","Census Tract 9809.05, Philadelphia County, Pennsylvania","0","0","0"
"1400000US42101980906","Census Tract 9809.06, Philadelphia County, Pennsylvania","0","0","0"
"1400000US42101989100","Census Tract 9891, Philadelphia County, Pennsylvania","3688","619","3069"
"1400000US42101989200","Census Tract 9892, Philadelphia County, Pennsylvania","3","1","2"
"1400000US42101989300","Census Tract 9893, Philadelphia County, Pennsylvania","65","14","51"
